Time (seconds)	Synthetic MI Data (S_21 (dB))	
4.8656	-51.8153+0.7896i
4.8990	-52.1232+0.7896i
4.9323	-52.4022+0.7896i
4.9656	-52.7107+0.7896i
4.9989	-53.0722+0.7896i
5.0323	-53.4464+0.7896i
5.0656	-53.8615+0.7896i
5.0989	-54.2932+0.7896i
5.1322	-54.6440+0.7896i
5.1656	-54.9825+0.7896i
5.1989	-55.2725+0.7896i
5.2322	-55.5637+0.7896i
5.2655	-55.8414+0.7896i
5.2989	-56.0966+0.7896i
5.3322	-56.3408+0.7896i
5.3655	-56.5130+0.7896i
5.3988	-56.7083+0.7896i
5.4322	-56.7716+0.7896i
5.4655	-56.8048+0.7896i
5.4988	-56.6665+0.7896i
5.5321	-56.5296+0.7896i
5.5655	-56.3942+0.7896i
5.5988	-56.1172+0.7896i
5.6321	-55.8008+0.7896i
5.6655	-55.4949+0.7896i
5.6988	-55.1921+0.7896i
5.7321	-54.9310+0.7896i
5.7654	-54.6674+0.7896i
5.7988	-54.4217+0.7896i
5.8321	-54.1981+0.7896i
5.8654	-54.0187+0.7896i
5.8987	-53.8878+0.7896i
5.9321	-53.7179+0.7896i
5.9654	-53.5672+0.7896i
5.9987	-53.3824+0.7896i
6.0320	-53.1943+0.7896i
6.0654	-52.9504+0.7896i
6.0987	-52.7185+0.7896i
6.1320	-52.5006+0.7896i
6.1653	-52.2795+0.7896i
6.1987	-52.1014+0.7896i
6.2320	-51.9185+0.7896i
6.2653	-51.7564+0.7896i
6.2987	-51.5865+0.7896i
6.3320	-51.3896+0.7896i
6.3653	-51.1513+0.7896i
6.3986	-50.7699+0.7896i
6.4320	-50.2572+0.7896i
6.4653	-49.6012+0.7896i
6.4986	-48.7896+0.7896i
6.5319	-47.9452+0.7896i
6.5653	-47.1077+0.7896i
6.5986	-46.2996+0.7896i
6.6319	-45.4737+0.7896i
6.6652	-44.7530+0.7896i
6.6986	-43.9763+0.7896i
6.7319	-43.2541+0.7896i
6.7652	-42.6206+0.7896i
6.7985	-42.0453+0.7896i
6.8319	-41.4416+0.7896i
6.8652	-40.9245+0.7896i
6.8985	-40.3254+0.7896i
6.9318	-39.7578+0.7896i
6.9652	-39.1787+0.7896i
6.9985	-38.5780+0.7896i
7.0318	-37.9459+0.7896i
7.0652	-37.2869+0.7896i
7.0985	-36.5282+0.7896i
7.1318	-35.7013+0.7896i
7.1651	-34.8623+0.7896i
7.1985	-34.0091+0.7896i
7.2318	-33.2222+0.7897i
7.2651	-32.5875+0.7897i
7.2984	-32.1804+0.7897i
7.3318	-31.9989+0.7897i
7.3651	-32.0025+0.7897i
7.3984	-32.0881+0.7897i
7.4317	-32.2029+0.7897i
7.4651	-32.3807+0.7897i
7.4984	-32.5839+0.7897i
7.5317	-32.7386+0.7897i
7.5650	-32.7467+0.7897i
7.5984	-32.6469+0.7897i
7.6317	-32.5070+0.7897i
7.6650	-32.4324+0.7897i
7.6984	-32.4174+0.7897i
7.7317	-32.5463+0.7897i
7.7650	-32.8329+0.7897i
7.7983	-33.2739+0.7897i
7.8317	-33.8537+0.7896i
7.8650	-34.4061+0.7896i
7.8983	-34.9663+0.7896i
7.9316	-35.5410+0.7896i
7.9650	-36.4690+0.7896i
7.9983	-37.4910+0.7896i
8.0316	-38.5467+0.7896i
8.0649	-39.8195+0.7896i
8.0983	-41.1279+0.7896i
8.1316	-42.2507+0.7896i
8.1649	-43.2575+0.7896i
8.1982	-43.8450+0.7896i
8.2316	-44.3460+0.7896i
8.2649	-44.9055+0.7896i
8.2982	-45.4577+0.7896i
8.3315	-45.9798+0.7896i
8.3649	-46.5942+0.7896i
8.3982	-47.3035+0.7896i
8.4315	-48.0307+0.7896i
8.4649	-48.7558+0.7896i
8.4982	-49.4283+0.7896i
8.5315	-49.8186+0.7896i
8.5648	-50.0470+0.7896i
8.5982	-50.0893+0.7896i
8.6315	-50.0954+0.7896i
8.6648	-50.0414+0.7896i
8.6981	-49.9755+0.7896i
8.7315	-49.9111+0.7896i
8.7648	-49.8483+0.7896i
8.7981	-49.5675+0.7896i
8.8314	-49.3582+0.7896i
8.8648	-49.1792+0.7896i
8.8981	-49.0222+0.7896i
8.9314	-48.8691+0.7896i
8.9647	-48.6687+0.7896i
8.9981	-48.3679+0.7896i
9.0314	-48.1259+0.7896i
9.0647	-47.8829+0.7896i
9.0981	-47.7320+0.7896i
9.1314	-47.4005+0.7896i
9.1647	-46.9427+0.7896i
9.1980	-46.2632+0.7896i
9.2314	-45.6848+0.7896i
9.2647	-45.0969+0.7896i
9.2980	-44.6488+0.7896i
9.3313	-44.5289+0.7896i
9.3647	-44.5102+0.7896i
9.3980	-44.6351+0.7896i
9.4313	-44.8840+0.7896i
9.4646	-45.2211+0.7896i
9.4980	-45.5352+0.7896i
9.5313	-45.9172+0.7896i
9.5646	-46.2746+0.7896i
9.5979	-46.6316+0.7896i
9.6313	-46.9927+0.7896i
9.6646	-47.1932+0.7896i
9.6979	-47.4928+0.7896i
9.7312	-47.9145+0.7896i
9.7646	-48.1703+0.7896i
9.7979	-48.8038+0.7896i
9.8312	-49.4271+0.7896i
9.8646	-50.0446+0.7896i
9.8979	-50.8540+0.7896i
9.9312	-51.6404+0.7896i
9.9645	-52.3761+0.7896i
9.9979	-53.1629+0.7896i
10.0312	-53.9285+0.7896i
10.0645	-54.6121+0.7896i
10.0978	-55.1824+0.7896i
10.1312	-55.6823+0.7896i
10.1645	-56.0748+0.7896i
10.1978	-56.2910+0.7896i
10.2311	-56.3285+0.7896i
10.2645	-56.3690+0.7896i
10.2978	-56.4125+0.7896i
10.3311	-56.1358+0.7896i
10.3644	-55.7569+0.7896i
10.3978	-55.3196+0.7896i
10.4311	-54.8605+0.7896i
10.4644	-54.3877+0.7896i
10.4978	-53.8732+0.7896i
10.5311	-53.3664+0.7896i
10.5644	-52.8995+0.7896i
10.5977	-52.5083+0.7896i
10.6311	-52.1582+0.7896i
10.6644	-51.8994+0.7896i
10.6977	-51.6628+0.7896i
10.7310	-51.4310+0.7896i
10.7644	-51.2045+0.7896i
10.7977	-50.9206+0.7896i
10.8310	-50.6317+0.7896i
10.8643	-50.3138+0.7896i
10.8977	-49.9974+0.7896i
10.9310	-49.7155+0.7896i
10.9643	-49.4559+0.7896i
10.9976	-49.3168+0.7896i
11.0310	-49.2074+0.7896i
11.0643	-49.1650+0.7896i
11.0976	-49.1771+0.7896i
11.1309	-49.2117+0.7896i
11.1643	-49.2608+0.7896i
11.1976	-49.3153+0.7896i
11.2309	-49.4016+0.7896i
11.2643	-49.4461+0.7896i
11.2976	-49.5312+0.7896i
11.3309	-49.5707+0.7896i
11.3642	-49.5788+0.7896i
11.3976	-49.5259+0.7896i
11.4309	-49.3749+0.7896i
11.4642	-49.1080+0.7896i
11.4975	-48.6176+0.7896i
11.5309	-48.0449+0.7896i
11.5642	-47.6654+0.7896i
11.5975	-47.3605+0.7896i
11.6308	-47.1971+0.7896i
11.6642	-47.0103+0.7896i
11.6975	-46.7898+0.7896i
11.7308	-46.4635+0.7896i
11.7641	-46.0743+0.7896i
11.7975	-45.7002+0.7896i
11.8308	-45.2632+0.7896i
11.8641	-44.7446+0.7896i
11.8975	-44.2029+0.7896i
11.9308	-43.6844+0.7896i
11.9641	-43.0881+0.7896i
11.9974	-42.5506+0.7896i
12.0308	-42.0309+0.7896i
12.0641	-41.4894+0.7896i
12.0974	-40.9707+0.7896i
12.1307	-40.4101+0.7896i
12.1641	-39.8538+0.7896i
12.1974	-39.2903+0.7896i
12.2307	-38.7081+0.7896i
12.2640	-38.1412+0.7896i
12.2974	-37.5892+0.7896i
12.3307	-37.0738+0.7896i
12.3640	-36.6002+0.7896i
12.3973	-36.1096+0.7896i
12.4307	-35.6512+0.7896i
12.4640	-35.2577+0.7896i
12.4973	-34.9596+0.7896i
12.5306	-34.7838+0.7896i
12.5640	-34.8216+0.7896i
12.5973	-35.1162+0.7896i
12.6306	-35.6798+0.7896i
12.6640	-36.5200+0.7896i
12.6973	-37.4131+0.7896i
12.7306	-38.3486+0.7896i
12.7639	-39.2865+0.7896i
12.7973	-40.1812+0.7896i
12.8306	-41.0421+0.7896i
12.8639	-41.8064+0.7896i
12.8972	-42.6048+0.7896i
12.9306	-43.3050+0.7896i
12.9639	-43.8924+0.7896i
12.9972	-44.4526+0.7896i
13.0305	-44.9367+0.7896i
13.0639	-45.4176+0.7896i
13.0972	-45.9218+0.7896i
13.1305	-46.4695+0.7896i
13.1638	-46.9860+0.7896i
13.1972	-47.5120+0.7896i
13.2305	-47.8582+0.7896i
13.2638	-48.3853+0.7896i
13.2972	-49.0582+0.7896i
13.3305	-49.7704+0.7896i
13.3638	-50.7028+0.7896i
13.3971	-51.7116+0.7896i
13.4305	-52.7389+0.7896i
13.4638	-53.6951+0.7896i
13.4971	-54.6682+0.7896i
13.5304	-55.3726+0.7896i
13.5638	-56.0635+0.7896i
13.5971	-56.6852+0.7896i
13.6304	-57.1010+0.7896i
13.6637	-57.4547+0.7896i
13.6971	-57.6825+0.7896i
13.7304	-57.8475+0.7896i
13.7637	-57.9311+0.7896i
13.7970	-57.8666+0.7896i
13.8304	-57.8037+0.7896i
13.8637	-57.7425+0.7896i
13.8970	-57.3519+0.7896i
13.9303	-56.8659+0.7896i
13.9637	-56.2484+0.7896i
13.9970	-55.4356+0.7896i
14.0303	-54.4638+0.7896i
14.0637	-53.2655+0.7896i
14.0970	-52.0000+0.7896i
14.1303	-50.7294+0.7896i
14.1636	-49.5255+0.7896i
14.1970	-48.4149+0.7896i
14.2303	-47.4969+0.7896i
14.2636	-46.7070+0.7896i
14.2969	-46.1365+0.7896i
14.3303	-45.8049+0.7896i
14.3636	-45.6725+0.7896i
14.3969	-45.6891+0.7896i
14.4302	-45.9100+0.7896i
14.4636	-46.2721+0.7896i
14.4969	-46.8617+0.7896i
14.5302	-47.6977+0.7896i
14.5635	-48.7420+0.7896i
14.5969	-49.9914+0.7896i
14.6302	-51.3026+0.7896i
14.6635	-52.6229+0.7896i
14.6969	-53.8146+0.7896i
14.7302	-54.7984+0.7896i
14.7635	-55.4734+0.7896i
14.7968	-55.8238+0.7896i
14.8302	-55.8295+0.7896i
14.8635	-55.5622+0.7896i
14.8968	-54.9928+0.7896i
14.9301	-54.1813+0.7896i
14.9635	-53.2003+0.7896i
14.9968	-52.0204+0.7896i
15.0301	-50.7015+0.7896i
15.0634	-49.3839+0.7896i
15.0968	-48.0337+0.7896i
15.1301	-46.7628+0.7896i
15.1634	-45.5336+0.7896i
15.1967	-44.4071+0.7896i
15.2301	-43.4178+0.7896i
15.2634	-42.6452+0.7896i
15.2967	-42.2970+0.7896i
15.3300	-42.2804+0.7896i
15.3634	-42.3316+0.7896i
15.3967	-42.5022+0.7896i
15.4300	-42.9143+0.7896i
15.4634	-43.3691+0.7896i
15.4967	-44.0441+0.7896i
15.5300	-44.9601+0.7896i
15.5633	-46.0562+0.7896i
15.5967	-47.2773+0.7896i
15.6300	-48.5742+0.7896i
15.6633	-49.8699+0.7896i
15.6966	-51.0952+0.7896i
15.7300	-52.1117+0.7896i
15.7633	-53.0134+0.7896i
15.7966	-53.7171+0.7896i
15.8299	-54.2517+0.7896i
15.8633	-54.6382+0.7896i
15.8966	-54.8766+0.7896i
15.9299	-55.0048+0.7896i
15.9632	-55.0383+0.7896i
15.9966	-55.0307+0.7896i
16.0299	-54.9983+0.7896i
16.0632	-54.8706+0.7896i
16.0966	-54.6664+0.7896i
16.1299	-54.3678+0.7896i
16.1632	-53.9419+0.7896i
16.1965	-53.3544+0.7896i
16.2299	-52.6719+0.7896i
16.2632	-51.9003+0.7896i
16.2965	-51.0946+0.7896i
16.3298	-50.3815+0.7896i
16.3632	-49.7159+0.7896i
16.3965	-49.1995+0.7896i
16.4298	-48.8633+0.7896i
16.4631	-48.6480+0.7896i
16.4965	-48.5749+0.7896i
16.5298	-48.5949+0.7896i
16.5631	-48.5926+0.7896i
16.5964	-48.5814+0.7896i
16.6298	-48.5659+0.7896i
16.6631	-48.5348+0.7896i
16.6964	-48.4762+0.7896i
16.7297	-48.4696+0.7896i
16.7631	-48.4737+0.7896i
16.7964	-48.4981+0.7896i
16.8297	-48.6064+0.7896i
16.8631	-48.8282+0.7896i
16.8964	-49.1819+0.7896i
16.9297	-49.6879+0.7896i
16.9630	-50.3351+0.7896i
16.9964	-51.1249+0.7896i
17.0297	-52.0283+0.7896i
17.0630	-53.0048+0.7896i
17.0963	-54.0243+0.7896i
17.1297	-54.9782+0.7896i
17.1630	-55.8535+0.7896i
17.1963	-56.6327+0.7896i
17.2296	-57.2667+0.7896i
17.2630	-57.7490+0.7896i
17.2963	-58.0406+0.7896i
17.3296	-58.1104+0.7896i
17.3629	-58.0203+0.7896i
17.3963	-57.9145+0.7896i
17.4296	-57.8856+0.7896i
17.4629	-57.9081+0.7896i
17.4963	-57.9407+0.7896i
17.5296	-57.9306+0.7896i
17.5629	-57.9015+0.7896i
17.5962	-57.8810+0.7896i
17.6296	-57.8848+0.7896i
17.6629	-57.9081+0.7896i
17.6962	-57.9261+0.7896i
17.7295	-57.9195+0.7896i
17.7629	-57.8752+0.7896i
17.7962	-57.8549+0.7896i
17.8295	-57.8239+0.7896i
17.8628	-57.7339+0.7896i
17.8962	-57.5815+0.7896i
17.9295	-57.3347+0.7896i
17.9628	-56.9669+0.7896i
17.9961	-56.5176+0.7896i
18.0295	-55.9983+0.7896i
18.0628	-55.4578+0.7896i
18.0961	-54.9631+0.7896i
18.1295	-54.4933+0.7896i
18.1628	-54.0855+0.7896i
18.1961	-53.7969+0.7896i
18.2294	-53.5745+0.7896i
18.2628	-53.4218+0.7896i
18.2961	-53.2998+0.7896i
18.3294	-53.1569+0.7896i
18.3627	-52.9555+0.7896i
18.3961	-52.7130+0.7896i
18.4294	-52.3954+0.7896i
18.4627	-52.0068+0.7896i
18.4960	-51.5359+0.7896i
18.5294	-51.0307+0.7896i
18.5627	-50.4950+0.7896i
18.5960	-49.9708+0.7896i
18.6293	-49.3939+0.7896i
18.6627	-48.8569+0.7896i
18.6960	-48.2854+0.7896i
18.7293	-47.6798+0.7896i
18.7626	-47.0558+0.7896i
18.7960	-46.4514+0.7896i
18.8293	-45.7874+0.7896i
18.8626	-45.1753+0.7896i
18.8960	-44.5811+0.7896i
18.9293	-44.0760+0.7896i
18.9626	-43.6267+0.7896i
18.9959	-43.3026+0.7896i
19.0293	-43.0759+0.7896i
19.0626	-42.8767+0.7896i
19.0959	-42.6969+0.7896i
19.1292	-42.4946+0.7896i
19.1626	-42.1731+0.7896i
19.1959	-41.7559+0.7896i
19.2292	-41.2694+0.7896i
19.2625	-40.7444+0.7896i
19.2959	-40.2264+0.7896i
19.3292	-39.7329+0.7896i
19.3625	-39.2797+0.7896i
19.3958	-38.8382+0.7896i
19.4292	-38.5482+0.7896i
19.4625	-38.3711+0.7896i
19.4958	-38.1223+0.7896i
19.5292	-37.9819+0.7896i
19.5625	-37.9670+0.7896i
19.5958	-37.9550+0.7896i
19.6291	-37.9771+0.7896i
19.6625	-38.0159+0.7896i
19.6958	-38.0308+0.7896i
19.7291	-38.0952+0.7896i
19.7624	-38.2473+0.7896i
19.7958	-38.5229+0.7896i
19.8291	-38.9769+0.7896i
19.8624	-39.5295+0.7896i
19.8957	-40.2240+0.7896i
19.9291	-40.9786+0.7896i
19.9624	-41.7362+0.7896i
19.9957	-42.4902+0.7896i
20.0290	-43.1992+0.7896i
20.0624	-43.8743+0.7896i
20.0957	-44.4769+0.7896i
20.1290	-45.0207+0.7896i
20.1623	-45.2639+0.7896i
20.1957	-45.6331+0.7896i
20.2290	-46.0384+0.7896i
20.2623	-46.3624+0.7896i
20.2957	-46.7234+0.7896i
20.3290	-47.1214+0.7896i
20.3623	-47.5555+0.7896i
20.3956	-48.0237+0.7896i
20.4290	-48.6055+0.7896i
20.4623	-49.3028+0.7896i
20.4956	-49.9908+0.7896i
20.5289	-50.6762+0.7896i
20.5623	-51.3509+0.7896i
20.5956	-51.9784+0.7896i
20.6289	-52.5237+0.7896i
20.6622	-52.8415+0.7896i
20.6956	-53.1577+0.7896i
20.7289	-53.4724+0.7896i
20.7622	-53.7853+0.7896i
20.7955	-54.0967+0.7896i
20.8289	-54.4063+0.7896i
20.8622	-54.7142+0.7896i
20.8955	-55.0203+0.7896i
20.9289	-55.0909+0.7896i
20.9622	-55.3060+0.7896i
20.9955	-55.5215+0.7896i
21.0288	-55.7374+0.7896i
21.0622	-56.1128+0.7896i
21.0955	-56.5147+0.7896i
21.1288	-56.9353+0.7896i
21.1621	-57.3317+0.7896i
21.1955	-57.7478+0.7896i
21.2288	-58.0938+0.7896i
21.2621	-58.4043+0.7896i
21.2954	-58.6538+0.7896i
21.3288	-58.8480+0.7896i
21.3621	-59.0021+0.7896i
21.3954	-59.1246+0.7896i
21.4287	-59.1761+0.7896i
21.4621	-59.2288+0.7896i
21.4954	-59.2829+0.7896i
21.5287	-59.3382+0.7896i
21.5620	-59.3948+0.7896i
21.5954	-59.4527+0.7896i
21.6287	-59.5118+0.7896i
21.6620	-59.5721+0.7896i
21.6954	-59.6337+0.7896i
21.7287	-59.6964+0.7896i
21.7620	-59.7603+0.7896i
21.7953	-59.8253+0.7896i
21.8287	-59.8915+0.7896i
21.8620	-59.9588+0.7896i
21.8953	-60.0273+0.7896i
21.9286	-60.0968+0.7896i
21.9620	-60.1674+0.7896i
21.9953	-60.2390+0.7896i
22.0286	-60.3117+0.7896i
22.0619	-60.3855+0.7896i
22.0953	-60.6403+0.7896i
22.1286	-60.8623+0.7896i
22.1619	-61.0334+0.7896i
22.1952	-61.0895+0.7896i
22.2286	-61.1454+0.7896i
22.2619	-61.2012+0.7896i
22.2952	-61.2569+0.7896i
22.3286	-61.3125+0.7896i
22.3619	-61.3680+0.7896i
22.3952	-61.4234+0.7896i
22.4285	-61.3989+0.7896i
22.4619	-61.3764+0.7896i
22.4952	-61.3328+0.7896i
22.5285	-61.3088+0.7896i
22.5618	-61.2795+0.7896i
22.5952	-61.2359+0.7896i
22.6285	-61.2102+0.7896i
22.6618	-61.1326+0.7896i
22.6951	-61.0539+0.7896i
22.7285	-60.9494+0.7896i
22.7618	-60.8292+0.7896i
22.7951	-60.7053+0.7896i
22.8284	-60.5587+0.7896i
22.8618	-60.4059+0.7896i
22.8951	-60.2455+0.7896i
22.9284	-60.1059+0.7896i
22.9617	-59.9481+0.7896i
22.9951	-59.8176+0.7896i
23.0284	-59.7162+0.7896i
23.0617	-59.5723+0.7896i
23.0951	-59.4328+0.7896i
23.1284	-59.2393+0.7896i
23.1617	-59.0356+0.7896i
23.1950	-58.8507+0.7896i
23.2284	-58.6860+0.7896i
23.2617	-58.5778+0.7896i
23.2950	-58.4698+0.7896i
23.3283	-58.3862+0.7896i
23.3617	-58.3143+0.7896i
23.3950	-58.2385+0.7896i
23.4283	-58.1634+0.7896i
23.4616	-58.0889+0.7896i
23.4950	-58.0151+0.7896i
23.5283	-57.9421+0.7896i
23.5616	-57.8698+0.7896i
23.5949	-57.7983+0.7896i
23.6283	-57.7276+0.7896i
23.6616	-57.6239+0.7896i
23.6949	-57.5136+0.7896i
23.7283	-57.4029+0.7896i
23.7616	-57.2919+0.7896i
23.7949	-57.1805+0.7896i
23.8282	-57.1197+0.7896i
23.8616	-57.0377+0.7896i
23.8949	-56.9578+0.7896i
23.9282	-56.8799+0.7896i
23.9615	-56.8040+0.7896i
23.9949	-56.7301+0.7896i
24.0282	-56.4030+0.7896i
24.0615	-56.0103+0.7896i
24.0948	-55.6816+0.7896i
24.1282	-55.3872+0.7896i
24.1615	-55.0893+0.7896i
24.1948	-54.7394+0.7896i
24.2281	-54.4207+0.7896i
24.2615	-54.0298+0.7896i
24.2948	-53.6630+0.7896i
24.3281	-53.3063+0.7896i
24.3614	-52.9912+0.7896i
24.3948	-52.9093+0.7896i
24.4281	-52.8731+0.7896i
24.4614	-52.8835+0.7896i
24.4948	-52.9239+0.7896i
24.5281	-53.0887+0.7896i
24.5614	-53.3040+0.7896i
24.5947	-53.5359+0.7896i
24.6281	-53.7786+0.7896i
24.6614	-54.0772+0.7896i
24.6947	-54.3162+0.7896i
24.7280	-54.4066+0.7896i
24.7614	-54.4636+0.7896i
24.7947	-54.4998+0.7896i
24.8280	-54.5465+0.7896i
24.8613	-54.5769+0.7896i
24.8947	-54.5902+0.7896i
24.9280	-54.5970+0.7896i
24.9613	-54.6088+0.7896i
24.9946	-54.6075+0.7896i
25.0280	-54.6373+0.7896i
25.0613	-54.8740+0.7896i
25.0946	-55.1994+0.7896i
25.1280	-55.5059+0.7896i
25.1613	-55.7092+0.7896i
25.1946	-55.8318+0.7896i
25.2279	-55.9987+0.7896i
25.2613	-55.9844+0.7896i
25.2946	-55.9701+0.7896i
25.3279	-55.9559+0.7896i
25.3612	-55.9417+0.7896i
25.3946	-55.9275+0.7896i
25.4279	-55.9133+0.7896i
25.4612	-55.9143+0.7896i
25.4945	-55.8721+0.7896i
25.5279	-55.8065+0.7896i
25.5612	-55.7631+0.7896i
25.5945	-55.7064+0.7896i
25.6278	-55.5037+0.7896i
25.6612	-55.2216+0.7896i
25.6945	-54.8759+0.7896i
25.7278	-54.4164+0.7896i
25.7611	-53.9016+0.7896i
25.7945	-53.2528+0.7896i
25.8278	-52.5138+0.7896i
25.8611	-51.7188+0.7896i
25.8945	-50.8750+0.7896i
25.9278	-50.1046+0.7896i
25.9611	-49.4183+0.7896i
25.9944	-48.9070+0.7896i
26.0278	-48.7373+0.7896i
26.0611	-48.6760+0.7896i
26.0944	-48.5937+0.7896i
26.1277	-48.4675+0.7896i
26.1611	-48.4265+0.7896i
26.1944	-48.3858+0.7896i
26.2277	-48.2829+0.7896i
26.2610	-48.1632+0.7896i
26.2944	-48.0173+0.7896i
26.3277	-47.7983+0.7896i
26.3610	-47.5331+0.7896i
26.3943	-47.2428+0.7896i
26.4277	-46.9922+0.7896i
26.4610	-46.7361+0.7896i
26.4943	-46.4805+0.7896i
26.5277	-46.3212+0.7896i
26.5610	-46.1253+0.7896i
26.5943	-45.9412+0.7896i
26.6276	-45.7351+0.7896i
26.6610	-45.4235+0.7896i
26.6943	-45.0541+0.7896i
26.7276	-44.6094+0.7896i
26.7609	-44.1073+0.7896i
26.7943	-43.5829+0.7896i
26.8276	-43.0185+0.7896i
26.8609	-42.3967+0.7896i
26.8942	-41.7986+0.7896i
26.9276	-41.1930+0.7896i
26.9609	-40.5749+0.7896i
26.9942	-40.0665+0.7896i
27.0275	-39.6667+0.7896i
27.0609	-39.5188+0.7896i
27.0942	-39.5187+0.7896i
27.1275	-39.5192+0.7896i
27.1608	-39.5574+0.7896i
27.1942	-39.5540+0.7896i
27.2275	-39.5191+0.7896i
27.2608	-39.5116+0.7896i
27.2942	-39.5081+0.7896i
