Time (seconds)	TX_1 (S_21 (dB))	TX_2 (S_21 (dB))	TX_3 (S_21 (dB))	TX_4 (S_21 (dB))	TX_5 (S_21 (dB))	TX_6 (S_21 (dB))	TX_7 (S_21 (dB))	TX_8 (S_21 (dB))	
0.0312	-14.0275-0.0135i	-30.5985-0.0622i	-12.3116+0.0103i	-7.0324+0.1814i	-27.3548-0.0609i	-36.0010-0.0630i	-12.3892+1.7254i	-31.5407-0.0624i
0.0333	-14.1009-0.0143i	-30.6530-0.0622i	-12.3358+0.0099i	-7.0461+0.1807i	-27.2610-0.0609i	-35.9788-0.0630i	-12.3619+1.7250i	-31.3613-0.0623i
0.0354	-14.0743-0.0140i	-30.6204-0.0622i	-12.3263+0.0100i	-7.0490+0.1805i	-27.2817-0.0609i	-35.9905-0.0630i	-12.3980+1.7256i	-31.4370-0.0624i
0.0375	-14.1013-0.0143i	-30.6419-0.0622i	-12.3363+0.0099i	-7.0485+0.1805i	-27.3110-0.0609i	-35.9884-0.0630i	-12.2882+1.7238i	-31.5216-0.0624i
0.0396	-14.0990-0.0143i	-30.6323-0.0622i	-12.3338+0.0099i	-7.0519+0.1803i	-27.2946-0.0609i	-35.9791-0.0630i	-12.3360+1.7246i	-31.4897-0.0624i
0.0417	-14.1040-0.0143i	-30.6276-0.0622i	-12.3425+0.0098i	-7.0475+0.1806i	-27.2361-0.0609i	-35.9725-0.0630i	-12.3765+1.7252i	-31.4882-0.0624i
0.0437	-14.1043-0.0143i	-30.6123-0.0622i	-12.3404+0.0098i	-7.0488+0.1805i	-27.2469-0.0609i	-35.9666-0.0630i	-12.3854+1.7254i	-31.5007-0.0624i
0.0458	-14.1080-0.0144i	-30.6006-0.0622i	-12.3396+0.0098i	-7.0425+0.1809i	-27.2477-0.0609i	-35.9721-0.0630i	-12.4679+1.7267i	-31.4603-0.0624i
0.0479	-14.1132-0.0144i	-30.5822-0.0622i	-12.3433+0.0097i	-7.0404+0.1810i	-27.2262-0.0609i	-35.9632-0.0630i	-12.4716+1.7268i	-31.4503-0.0624i
0.0500	-14.1153-0.0145i	-30.5716-0.0622i	-12.3401+0.0098i	-7.0481+0.1805i	-27.2703-0.0609i	-35.9625-0.0630i	-12.4515+1.7265i	-31.5111-0.0624i
0.0521	-14.1193-0.0145i	-30.5728-0.0622i	-12.3421+0.0098i	-7.0438+0.1808i	-27.2584-0.0609i	-35.9503-0.0630i	-12.5002+1.7272i	-31.4888-0.0624i
0.0542	-14.1196-0.0145i	-30.5642-0.0622i	-12.3356+0.0099i	-7.0398+0.1810i	-27.2226-0.0609i	-35.9369-0.0630i	-12.4628+1.7266i	-31.5417-0.0624i
0.0563	-14.1224-0.0145i	-30.5479-0.0622i	-12.3380+0.0098i	-7.0354+0.1813i	-27.2189-0.0609i	-35.9321-0.0630i	-12.5018+1.7273i	-31.5175-0.0624i
0.0583	-14.1188-0.0145i	-30.5335-0.0621i	-12.3390+0.0098i	-7.0336+0.1814i	-27.2545-0.0609i	-35.9263-0.0630i	-12.5646+1.7283i	-31.4913-0.0624i
0.0604	-14.1679-0.0150i	-30.5378-0.0621i	-12.3374+0.0098i	-7.0406+0.1810i	-27.2424-0.0609i	-35.8281-0.0629i	-12.3297+1.7245i	-31.4945-0.0624i
0.0625	-14.1669-0.0150i	-30.5278-0.0621i	-12.3331+0.0099i	-7.0398+0.1810i	-27.2597-0.0609i	-35.8316-0.0629i	-12.3476+1.7248i	-31.5429-0.0624i
0.0646	-14.1157-0.0145i	-30.5255-0.0621i	-12.3348+0.0099i	-7.0203+0.1821i	-27.2560-0.0609i	-35.8947-0.0629i	-12.6160+1.7291i	-31.5371-0.0624i
0.0667	-14.1393-0.0147i	-30.5114-0.0621i	-12.3379+0.0098i	-7.0138+0.1825i	-27.1803-0.0608i	-35.8592-0.0629i	-12.6226+1.7292i	-31.4588-0.0624i
0.0688	-14.1313-0.0146i	-30.5065-0.0621i	-12.3374+0.0098i	-7.0195+0.1822i	-27.1937-0.0608i	-35.8919-0.0629i	-12.6754+1.7300i	-31.5010-0.0624i
0.0708	-14.1336-0.0147i	-30.5043-0.0621i	-12.3316+0.0099i	-7.0179+0.1823i	-27.2409-0.0609i	-35.8736-0.0629i	-12.5576+1.7281i	-31.6312-0.0624i
0.0729	-14.1371-0.0147i	-30.5024-0.0621i	-12.3309+0.0100i	-7.0156+0.1824i	-27.2210-0.0609i	-35.8774-0.0629i	-12.6181+1.7291i	-31.6058-0.0624i
0.0750	-14.1336-0.0147i	-30.4910-0.0621i	-12.3382+0.0098i	-7.0086+0.1828i	-27.1627-0.0608i	-35.8790-0.0629i	-12.6568+1.7297i	-31.5996-0.0624i
0.0771	-14.1350-0.0147i	-30.4716-0.0621i	-12.3334+0.0099i	-7.0029+0.1831i	-27.1698-0.0608i	-35.8631-0.0629i	-12.6710+1.7299i	-31.6316-0.0624i
0.0792	-14.1398-0.0147i	-30.4679-0.0621i	-12.3372+0.0098i	-6.9929+0.1837i	-27.2060-0.0609i	-35.8773-0.0629i	-12.7505+1.7311i	-31.5731-0.0624i
0.0813	-14.1440-0.0148i	-30.4395-0.0621i	-12.3343+0.0099i	-6.9858+0.1841i	-27.1882-0.0608i	-35.8630-0.0629i	-12.7521+1.7312i	-31.5861-0.0624i
0.0833	-14.1479-0.0148i	-30.4365-0.0621i	-12.3358+0.0099i	-6.9870+0.1840i	-27.1914-0.0608i	-35.8637-0.0629i	-12.7521+1.7312i	-31.6152-0.0624i
0.0854	-14.1524-0.0149i	-30.4232-0.0621i	-12.3333+0.0099i	-6.9792+0.1845i	-27.1917-0.0608i	-35.8410-0.0629i	-12.7658+1.7314i	-31.6144-0.0624i
0.0875	-14.1883-0.0153i	-30.4260-0.0621i	-12.3275+0.0100i	-6.9772+0.1846i	-27.0618-0.0608i	-35.8141-0.0629i	-12.8875+1.7332i	-31.5203-0.0624i
0.0896	-14.1908-0.0153i	-30.4077-0.0621i	-12.3284+0.0100i	-6.9688+0.1851i	-27.0793-0.0608i	-35.8033-0.0629i	-12.8806+1.7331i	-31.5192-0.0624i
0.0917	-14.1106-0.0144i	-30.3413-0.0621i	-12.3049+0.0104i	-6.9669+0.1852i	-27.1249-0.0608i	-35.7888-0.0629i	-12.8697+1.7329i	-31.6316-0.0624i
0.0938	-14.1346-0.0147i	-30.3559-0.0621i	-12.3048+0.0104i	-6.9659+0.1852i	-27.0937-0.0608i	-35.7761-0.0629i	-12.9046+1.7334i	-31.6004-0.0624i
0.0958	-14.2020-0.0154i	-30.3826-0.0621i	-12.3218+0.0101i	-6.9610+0.1855i	-27.0507-0.0608i	-35.7739-0.0629i	-12.9296+1.7338i	-31.5353-0.0624i
0.0979	-14.1711-0.0151i	-30.3882-0.0621i	-12.3129+0.0103i	-6.9374+0.1869i	-27.0347-0.0608i	-35.7339-0.0629i	-13.0279+1.7352i	-31.5286-0.0624i
0.1000	-14.2083-0.0155i	-30.3896-0.0621i	-12.3229+0.0101i	-6.9315+0.1872i	-27.0080-0.0607i	-35.7414-0.0629i	-13.0432+1.7354i	-31.4965-0.0624i
0.1021	-14.2147-0.0156i	-30.3898-0.0621i	-12.3187+0.0102i	-6.9314+0.1872i	-26.9966-0.0607i	-35.7425-0.0629i	-13.0438+1.7354i	-31.5129-0.0624i
0.1042	-14.2137-0.0155i	-30.3849-0.0621i	-12.3135+0.0102i	-6.9232+0.1877i	-27.0219-0.0607i	-35.7234-0.0629i	-13.0159+1.7350i	-31.5575-0.0624i
0.1062	-14.2252-0.0157i	-30.3799-0.0621i	-12.3130+0.0103i	-6.9172+0.1881i	-26.9907-0.0607i	-35.6991-0.0629i	-13.0666+1.7357i	-31.5365-0.0624i
0.1083	-14.2268-0.0157i	-30.3727-0.0621i	-12.3130+0.0103i	-6.9033+0.1889i	-27.1462-0.0608i	-35.6947-0.0629i	-13.2098+1.7377i	-31.4399-0.0624i
0.1104	-14.2336-0.0158i	-30.3562-0.0621i	-12.3071+0.0104i	-6.8933+0.1895i	-27.1094-0.0608i	-35.6785-0.0629i	-13.2088+1.7377i	-31.4635-0.0624i
0.1125	-14.2357-0.0158i	-30.3492-0.0621i	-12.3101+0.0103i	-6.8777+0.1904i	-26.9816-0.0607i	-35.6693-0.0629i	-13.1016+1.7362i	-31.5860-0.0624i
0.1146	-14.2426-0.0159i	-30.3549-0.0621i	-12.3052+0.0104i	-6.8669+0.1910i	-27.0301-0.0608i	-35.6728-0.0629i	-13.1741+1.7372i	-31.5462-0.0624i
0.1167	-14.2290-0.0157i	-30.3838-0.0621i	-12.3040+0.0104i	-6.8664+0.1911i	-26.9779-0.0607i	-35.6862-0.0629i	-13.1004+1.7362i	-31.6188-0.0624i
0.1187	-14.2334-0.0158i	-30.3677-0.0621i	-12.2988+0.0105i	-6.8437+0.1924i	-26.9744-0.0607i	-35.6739-0.0629i	-13.1545+1.7370i	-31.6050-0.0624i
0.1208	-14.2274-0.0157i	-30.3701-0.0621i	-12.2929+0.0106i	-6.8358+0.1929i	-26.9244-0.0607i	-35.6702-0.0629i	-13.1273+1.7366i	-31.6335-0.0624i
0.1229	-14.2845-0.0163i	-30.3553-0.0621i	-12.2912+0.0106i	-6.8191+0.1939i	-26.8997-0.0607i	-35.5339-0.0629i	-12.9170+1.7336i	-31.6008-0.0624i
0.1250	-14.2818-0.0163i	-30.3407-0.0621i	-12.2896+0.0106i	-6.8114+0.1944i	-26.9122-0.0607i	-35.5588-0.0629i	-13.0079+1.7349i	-31.5753-0.0624i
0.1271	-14.2491-0.0159i	-30.3191-0.0621i	-12.2857+0.0107i	-6.8046+0.1948i	-26.8892-0.0607i	-35.6215-0.0629i	-13.1610+1.7371i	-31.6223-0.0624i
0.1292	-14.2683-0.0161i	-30.3015-0.0621i	-12.2764+0.0109i	-6.7892+0.1957i	-26.9043-0.0607i	-35.5885-0.0629i	-13.0869+1.7360i	-31.6372-0.0624i
0.1313	-14.2411-0.0158i	-30.3082-0.0621i	-12.2701+0.0110i	-6.7562+0.1977i	-26.8770-0.0607i	-35.6033-0.0629i	-13.2363+1.7381i	-31.6310-0.0624i
0.1333	-14.2525-0.0160i	-30.2833-0.0621i	-12.2714+0.0109i	-6.7373+0.1989i	-26.8605-0.0607i	-35.5912-0.0629i	-13.2617+1.7384i	-31.6057-0.0624i
0.1354	-14.2539-0.0160i	-30.2901-0.0621i	-12.2627+0.0111i	-6.7230+0.1997i	-26.8502-0.0606i	-35.5858-0.0629i	-13.2738+1.7386i	-31.6352-0.0624i
0.1375	-14.2480-0.0159i	-30.2702-0.0621i	-12.2554+0.0112i	-6.7109+0.2005i	-26.8663-0.0607i	-35.5758-0.0629i	-13.2824+1.7387i	-31.6597-0.0624i
0.1396	-14.2619-0.0161i	-30.2819-0.0621i	-12.2492+0.0113i	-6.6917+0.2017i	-26.8487-0.0606i	-35.5464-0.0629i	-13.2967+1.7389i	-31.6528-0.0624i
0.1417	-14.2604-0.0161i	-30.2627-0.0621i	-12.2433+0.0114i	-6.6653+0.2033i	-26.8256-0.0606i	-35.5489-0.0629i	-13.3729+1.7399i	-31.6662-0.0624i
0.1437	-14.2771-0.0162i	-30.2469-0.0621i	-12.2347+0.0116i	-6.6515+0.2042i	-26.8216-0.0606i	-35.5131-0.0629i	-13.3284+1.7393i	-31.6804-0.0624i
0.1458	-14.2765-0.0162i	-30.2414-0.0621i	-12.2270+0.0117i	-6.6274+0.2057i	-26.8324-0.0606i	-35.5156-0.0629i	-13.3915+1.7402i	-31.6621-0.0624i
0.1479	-14.2699-0.0162i	-30.2282-0.0621i	-12.2191+0.0118i	-6.5999+0.2074i	-26.8125-0.0606i	-35.4829-0.0629i	-13.3956+1.7402i	-31.6548-0.0624i
0.1500	-14.2753-0.0162i	-30.2208-0.0621i	-12.2141+0.0119i	-6.5862+0.2083i	-26.8065-0.0606i	-35.4927-0.0629i	-13.3955+1.7402i	-31.6884-0.0624i
0.1521	-14.2848-0.0163i	-30.2339-0.0621i	-12.2022+0.0121i	-6.5580+0.2101i	-26.8015-0.0606i	-35.4610-0.0629i	-13.4171+1.7405i	-31.6841-0.0624i
0.1542	-14.1886-0.0153i	-30.1661-0.0620i	-12.1639+0.0128i	-6.5268+0.2121i	-26.8778-0.0607i	-35.4524-0.0629i	-13.3061+1.7390i	-31.8770-0.0624i
0.1562	-14.2158-0.0156i	-30.1758-0.0621i	-12.1590+0.0129i	-6.4993+0.2139i	-26.8586-0.0606i	-35.4162-0.0629i	-13.3528+1.7396i	-31.8351-0.0624i
0.1583	-14.2872-0.0163i	-30.2038-0.0621i	-12.1763+0.0126i	-6.4761+0.2154i	-26.7739-0.0606i	-35.4242-0.0629i	-13.4893+1.7414i	-31.6858-0.0624i
0.1604	-14.2671-0.0161i	-30.1487-0.0620i	-12.1760+0.0126i	-6.4985+0.2140i	-26.7899-0.0606i	-35.3921-0.0629i	-13.4354+1.7407i	-31.7528-0.0624i
0.1625	-14.2894-0.0164i	-30.1609-0.0620i	-12.1816+0.0125i	-6.4838+0.2149i	-26.7454-0.0606i	-35.4103-0.0629i	-13.4417+1.7408i	-31.7238-0.0624i
0.1646	-14.2842-0.0163i	-30.1289-0.0620i	-12.1734+0.0126i	-6.4498+0.2172i	-26.7395-0.0606i	-35.3656-0.0629i	-13.5119+1.7417i	-31.7121-0.0624i
0.1667	-14.2962-0.0164i	-30.1237-0.0620i	-12.1727+0.0126i	-6.4300+0.2185i	-26.6980-0.0606i	-35.3770-0.0629i	-13.5503+1.7422i	-31.7004-0.0624i
0.1688	-14.3138-0.0166i	-30.1538-0.0620i	-12.1577+0.0129i	-6.4056+0.2201i	-26.6853-0.0605i	-35.3550-0.0629i	-13.5556+1.7423i	-31.7051-0.0624i
0.1708	-14.3086-0.0166i	-30.1242-0.0620i	-12.1455+0.0131i	-6.3888+0.2212i	-26.6933-0.0605i	-35.3476-0.0629i	-13.5247+1.7419i	-31.7674-0.0624i
0.1729	-14.3193-0.0167i	-30.0993-0.0620i	-12.1374+0.0132i	-6.3629+0.2230i	-26.6681-0.0605i	-35.3097-0.0629i	-13.5543+1.7422i	-31.7490-0.0624i
0.1750	-14.3145-0.0166i	-30.0778-0.0620i	-12.1379+0.0132i	-6.3414+0.2244i	-26.6335-0.0605i	-35.3150-0.0629i	-13.5707+1.7425i	-31.7656-0.0624i
0.1771	-14.3652-0.0172i	-29.9918-0.0620i	-12.2053+0.0121i	-6.3359+0.2248i	-26.5031-0.0604i	-35.3742-0.0629i	-13.6104+1.7429i	-31.6603-0.0624i
0.1792	-14.3567-0.0171i	-29.9875-0.0620i	-12.1856+0.0124i	-6.3050+0.2269i	-26.5338-0.0604i	-35.3644-0.0629i	-13.6691+1.7437i	-31.6496-0.0624i
0.1812	-14.3267-0.0168i	-30.0481-0.0620i	-12.1340+0.0133i	-6.3156+0.2262i	-26.6060-0.0605i	-35.2412-0.0629i	-13.6346+1.7433i	-31.7413-0.0624i
0.1833	-14.3445-0.0169i	-29.9968-0.0620i	-12.1446+0.0131i	-6.2911+0.2279i	-26.5480-0.0605i	-35.2777-0.0629i	-13.6283+1.7432i	-31.7622-0.0624i
0.1854	-14.4348-0.0179i	-29.9456-0.0620i	-12.1929+0.0123i	-6.2882+0.2281i	-26.4633-0.0604i	-35.1964-0.0629i	-13.3901+1.7401i	-31.6597-0.0624i
0.1875	-14.3705-0.0172i	-29.9735-0.0620i	-12.1717+0.0126i	-6.2655+0.2297i	-26.4425-0.0604i	-35.1562-0.0629i	-13.4157+1.7405i	-31.7039-0.0624i
0.1896	-14.3464-0.0170i	-29.9398-0.0620i	-12.1781+0.0125i	-6.2496+0.2308i	-26.4200-0.0604i	-35.2143-0.0629i	-13.6456+1.7434i	-31.6832-0.0624i
0.1917	-14.3744-0.0173i	-29.9097-0.0620i	-12.1826+0.0125i	-6.2387+0.2315i	-26.3961-0.0604i	-35.2487-0.0629i	-13.6123+1.7430i	-31.6489-0.0624i
0.1938	-14.3480-0.0170i	-29.9154-0.0620i	-12.1524+0.0130i	-6.1949+0.2346i	-26.3867-0.0603i	-35.2242-0.0629i	-13.6566+1.7435i	-31.6944-0.0624i
0.1958	-14.3560-0.0171i	-29.8864-0.0620i	-12.1640+0.0128i	-6.1841+0.2354i	-26.3488-0.0603i	-35.2153-0.0629i	-13.6242+1.7431i	-31.7268-0.0624i
0.1979	-14.3436-0.0169i	-29.8826-0.0620i	-12.1625+0.0128i	-6.1894+0.2350i	-26.3540-0.0603i	-35.1709-0.0629i	-13.6867+1.7439i	-31.7236-0.0624i
0.2000	-14.3718-0.0172i	-29.8288-0.0620i	-12.1659+0.0127i	-6.1578+0.2373i	-26.3228-0.0603i	-35.2140-0.0629i	-13.7327+1.7445i	-31.6865-0.0624i
0.2021	-14.3569-0.0171i	-29.8397-0.0620i	-12.1459+0.0131i	-6.1325+0.2391i	-26.3148-0.0603i	-35.1598-0.0629i	-13.7285+1.7444i	-31.7089-0.0624i
0.2042	-14.3748-0.0173i	-29.7967-0.0619i	-12.1472+0.0131i	-6.1244+0.2397i	-26.3106-0.0603i	-35.1814-0.0629i	-13.7175+1.7443i	-31.7626-0.0624i
0.2062	-14.3872-0.0174i	-29.7900-0.0619i	-12.1287+0.0134i	-6.0967+0.2417i	-26.3040-0.0603i	-35.1158-0.0629i	-13.6429+1.7434i	-31.7662-0.0624i
0.2083	-14.3853-0.0174i	-29.7661-0.0619i	-12.1302+0.0134i	-6.0831+0.2427i	-26.2605-0.0603i	-35.1617-0.0629i	-13.6829+1.7438i	-31.7804-0.0624i
0.2104	-14.3912-0.0174i	-29.7598-0.0619i	-12.1393+0.0132i	-6.1020+0.2413i	-26.2644-0.0603i	-35.1084-0.0629i	-13.6514+1.7435i	-31.8031-0.0624i
0.2125	-14.3926-0.0175i	-29.7382-0.0619i	-12.1351+0.0133i	-6.0672+0.2438i	-26.2673-0.0603i	-35.1382-0.0629i	-13.7083+1.7442i	-31.7791-0.0624i
0.2146	-14.3973-0.0175i	-29.7085-0.0619i	-12.1226+0.0135i	-6.0400+0.2458i	-26.2498-0.0603i	-35.1049-0.0629i	-13.7083+1.7442i	-31.7770-0.0624i
0.2167	-14.3215-0.0167i	-29.6384-0.0619i	-12.0923+0.0140i	-6.0291+0.2466i	-26.2646-0.0603i	-35.1283-0.0629i	-13.7111+1.7442i	-31.8842-0.0624i
0.2188	-14.3632-0.0171i	-29.6329-0.0619i	-12.1029+0.0138i	-6.0292+0.2466i	-26.2567-0.0603i	-35.0882-0.0629i	-13.6507+1.7435i	-31.8803-0.0624i
0.2208	-14.4348-0.0179i	-29.6399-0.0619i	-12.1085+0.0137i	-6.0079+0.2482i	-26.1850-0.0602i	-35.0944-0.0629i	-13.6292+1.7432i	-31.8977-0.0625i
0.2229	-14.4186-0.0177i	-29.5912-0.0619i	-12.0938+0.0140i	-5.9864+0.2498i	-26.1791-0.0602i	-35.0612-0.0629i	-13.6122+1.7430i	-31.8854-0.0625i
0.2250	-14.4559-0.0181i	-29.5756-0.0619i	-12.0985+0.0139i	-5.9757+0.2506i	-26.1245-0.0602i	-35.1318-0.0629i	-13.6584+1.7435i	-31.8385-0.0624i
0.2271	-14.4638-0.0182i	-29.5471-0.0619i	-12.0710+0.0144i	-5.8874+0.2574i	-26.1179-0.0602i	-35.0883-0.0629i	-13.6175+1.7430i	-31.8627-0.0624i
0.2292	-14.4749-0.0183i	-29.5354-0.0619i	-12.0692+0.0144i	-5.8863+0.2575i	-26.0975-0.0601i	-35.1332-0.0629i	-13.5552+1.7423i	-31.9430-0.0625i
0.2313	-14.4822-0.0184i	-29.5107-0.0618i	-12.0708+0.0144i	-5.8640+0.2592i	-26.0690-0.0601i	-35.1136-0.0629i	-13.5986+1.7428i	-31.9124-0.0625i
0.2333	-14.4851-0.0184i	-29.4705-0.0618i	-12.0602+0.0146i	-5.8254+0.2622i	-26.0282-0.0601i	-35.1659-0.0629i	-13.6537+1.7435i	-31.8951-0.0625i
0.2354	-14.5092-0.0187i	-29.4562-0.0618i	-12.0606+0.0146i	-5.8472+0.2605i	-26.0104-0.0601i	-35.1691-0.0629i	-13.5684+1.7424i	-31.9153-0.0625i
0.2375	-14.4943-0.0185i	-29.4470-0.0618i	-12.0563+0.0147i	-5.8137+0.2631i	-25.9976-0.0601i	-35.1538-0.0629i	-13.5810+1.7426i	-31.9450-0.0625i
0.2396	-14.5284-0.0188i	-29.4440-0.0618i	-12.0436+0.0149i	-5.7758+0.2661i	-25.9805-0.0601i	-35.0035-0.0629i	-13.5028+1.7416i	-31.9207-0.0625i
0.2417	-14.5135-0.0187i	-29.4170-0.0618i	-12.0451+0.0149i	-5.7549+0.2678i	-25.9622-0.0600i	-35.1162-0.0629i	-13.5024+1.7416i	-31.9834-0.0625i
0.2437	-14.5295-0.0189i	-29.4130-0.0618i	-12.0524+0.0147i	-5.7567+0.2677i	-25.9526-0.0600i	-35.0460-0.0629i	-13.4574+1.7410i	-31.9745-0.0625i
0.2458	-14.5451-0.0190i	-29.3979-0.0618i	-12.0465+0.0148i	-5.7225+0.2704i	-25.9040-0.0600i	-35.0758-0.0629i	-13.4810+1.7413i	-31.9738-0.0625i
0.2479	-14.5964-0.0195i	-29.3651-0.0618i	-12.0347+0.0150i	-5.6917+0.2729i	-25.8829-0.0600i	-35.0630-0.0629i	-13.2641+1.7385i	-31.9767-0.0625i
0.2500	-14.5805-0.0194i	-29.3583-0.0618i	-12.0265+0.0152i	-5.6769+0.2741i	-25.8722-0.0600i	-35.0931-0.0629i	-13.2779+1.7386i	-32.0311-0.0625i
0.2521	-14.5601-0.0192i	-29.3362-0.0618i	-12.0212+0.0153i	-5.6535+0.2761i	-25.8585-0.0600i	-35.0643-0.0629i	-13.4246+1.7406i	-32.0908-0.0625i
0.2542	-14.5707-0.0193i	-29.3276-0.0618i	-12.0166+0.0154i	-5.6298+0.2780i	-25.7962-0.0599i	-35.1191-0.0629i	-13.3358+1.7394i	-32.1351-0.0625i
0.2562	-14.5509-0.0191i	-29.2926-0.0618i	-12.0121+0.0154i	-5.6077+0.2799i	-25.7670-0.0599i	-35.1030-0.0629i	-13.4206+1.7405i	-32.0972-0.0625i
0.2583	-14.5511-0.0191i	-29.2800-0.0618i	-12.0116+0.0155i	-5.5816+0.2821i	-25.7408-0.0599i	-35.1783-0.0629i	-13.4389+1.7408i	-32.0731-0.0625i
0.2604	-14.5552-0.0191i	-29.2545-0.0618i	-12.0140+0.0154i	-5.5684+0.2832i	-25.7236-0.0599i	-35.0731-0.0629i	-13.4416+1.7408i	-32.0705-0.0625i
0.2625	-14.5578-0.0191i	-29.2303-0.0618i	-12.0034+0.0156i	-5.5508+0.2847i	-25.7242-0.0599i	-35.0576-0.0629i	-13.4030+1.7403i	-32.1211-0.0625i
0.2646	-14.5650-0.0192i	-29.2229-0.0618i	-12.0115+0.0155i	-5.5156+0.2877i	-25.6800-0.0598i	-34.9900-0.0629i	-13.3614+1.7398i	-32.1619-0.0625i
0.2667	-14.5617-0.0192i	-29.2014-0.0617i	-12.0110+0.0155i	-5.4925+0.2897i	-25.6251-0.0598i	-34.9977-0.0629i	-13.3926+1.7402i	-32.1564-0.0625i
0.2687	-14.5703-0.0193i	-29.1899-0.0617i	-12.0034+0.0156i	-5.4824+0.2906i	-25.6105-0.0598i	-34.9222-0.0629i	-13.3518+1.7396i	-32.1604-0.0625i
0.2708	-14.5610-0.0192i	-29.1781-0.0617i	-12.0016+0.0156i	-5.4618+0.2924i	-25.5805-0.0598i	-34.8894-0.0629i	-13.3872+1.7401i	-32.1965-0.0625i
0.2729	-14.5663-0.0192i	-29.1750-0.0617i	-12.0028+0.0156i	-5.4380+0.2945i	-25.5581-0.0597i	-34.8215-0.0629i	-13.3752+1.7399i	-32.1701-0.0625i
0.2750	-14.5696-0.0193i	-29.1600-0.0617i	-11.9662+0.0163i	-5.4164+0.2964i	-25.5345-0.0597i	-34.8515-0.0629i	-13.3510+1.7396i	-32.2362-0.0625i
0.2771	-14.5645-0.0192i	-29.0746-0.0617i	-11.9759+0.0161i	-5.3972+0.2981i	-25.5128-0.0597i	-34.7797-0.0629i	-13.3838+1.7401i	-32.2185-0.0625i
0.2792	-14.4676-0.0182i	-29.0397-0.0617i	-11.9397+0.0168i	-5.3729+0.3003i	-25.5183-0.0597i	-34.7617-0.0629i	-13.4882+1.7414i	-32.2550-0.0625i
0.2812	-14.4908-0.0185i	-29.0691-0.0617i	-11.9350+0.0168i	-5.3414+0.3031i	-25.4952-0.0597i	-34.7090-0.0628i	-13.4391+1.7408i	-32.2358-0.0625i
