Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
0.1437	-64.1160+0.7504i	-82.5182+0.7504i	-76.8397+0.7504i	-94.4750+0.7504i	-64.1294+0.7504i	-83.1171+0.7504i	-73.8830+0.7504i	-93.1301+0.7504i
0.1458	-64.1232+0.7504i	-82.5236+0.7504i	-76.8357+0.7504i	-94.4631+0.7504i	-64.1305+0.7504i	-83.1283+0.7504i	-73.8655+0.7504i	-93.1187+0.7504i
0.1479	-64.1216+0.7504i	-82.5251+0.7504i	-76.8331+0.7504i	-94.4687+0.7504i	-64.1335+0.7504i	-83.1473+0.7504i	-73.8891+0.7504i	-93.1173+0.7504i
0.1500	-64.1275+0.7504i	-82.5486+0.7504i	-76.8351+0.7504i	-94.4784+0.7504i	-64.1296+0.7504i	-83.1576+0.7504i	-73.9920+0.7504i	-93.1234+0.7504i
0.1521	-64.1369+0.7504i	-82.5482+0.7504i	-76.8333+0.7504i	-94.4838+0.7504i	-64.1245+0.7504i	-83.1344+0.7504i	-74.0367+0.7504i	-93.1244+0.7504i
0.1542	-64.1309+0.7504i	-82.5553+0.7504i	-76.8284+0.7504i	-94.4760+0.7504i	-64.1323+0.7504i	-83.1610+0.7504i	-74.0297+0.7504i	-93.1227+0.7504i
0.1563	-64.1351+0.7504i	-82.5641+0.7504i	-76.8268+0.7504i	-94.4833+0.7504i	-64.1403+0.7504i	-83.1763+0.7504i	-74.0802+0.7504i	-93.1231+0.7504i
0.1583	-64.1293+0.7504i	-82.5463+0.7504i	-76.8213+0.7504i	-94.4753+0.7504i	-64.1364+0.7504i	-83.1851+0.7504i	-74.0972+0.7504i	-93.1224+0.7504i
0.1604	-64.1358+0.7504i	-82.5582+0.7504i	-76.8195+0.7504i	-94.4709+0.7504i	-64.1278+0.7504i	-83.1743+0.7504i	-74.1246+0.7504i	-93.1168+0.7504i
0.1625	-64.1357+0.7504i	-82.5722+0.7504i	-76.8169+0.7504i	-94.4762+0.7504i	-64.1334+0.7504i	-83.1788+0.7504i	-74.2369+0.7504i	-93.1177+0.7504i
0.1646	-64.1379+0.7504i	-82.5779+0.7504i	-76.8121+0.7504i	-94.4688+0.7504i	-64.1375+0.7504i	-83.2155+0.7504i	-74.2664+0.7504i	-93.1184+0.7504i
0.1667	-64.1347+0.7504i	-82.5795+0.7504i	-76.8044+0.7504i	-94.4586+0.7504i	-64.1366+0.7504i	-83.2327+0.7504i	-74.2509+0.7504i	-93.1136+0.7504i
0.1688	-64.1286+0.7504i	-82.5892+0.7504i	-76.8030+0.7504i	-94.4643+0.7504i	-64.1375+0.7504i	-83.2271+0.7504i	-74.2960+0.7504i	-93.1124+0.7504i
0.1708	-64.1289+0.7504i	-82.6035+0.7504i	-76.8021+0.7504i	-94.4793+0.7504i	-64.1418+0.7504i	-83.2302+0.7504i	-74.3407+0.7504i	-93.1134+0.7504i
0.1729	-64.1319+0.7504i	-82.6124+0.7504i	-76.7990+0.7504i	-94.4689+0.7504i	-64.1420+0.7504i	-83.2672+0.7504i	-74.3792+0.7504i	-93.1068+0.7504i
0.1750	-64.1304+0.7504i	-82.6087+0.7504i	-76.7899+0.7504i	-94.4526+0.7504i	-64.1476+0.7504i	-83.2891+0.7504i	-74.4413+0.7504i	-93.0979+0.7504i
0.1771	-64.1153+0.7504i	-82.6270+0.7504i	-76.7891+0.7504i	-94.4670+0.7504i	-64.1523+0.7504i	-83.2851+0.7504i	-74.4630+0.7504i	-93.0988+0.7504i
0.1792	-64.1118+0.7504i	-82.6204+0.7504i	-76.7831+0.7504i	-94.4545+0.7504i	-64.1567+0.7504i	-83.2971+0.7504i	-74.4334+0.7504i	-93.0883+0.7504i
0.1812	-64.1233+0.7504i	-82.6384+0.7504i	-76.7796+0.7504i	-94.4537+0.7504i	-64.1555+0.7504i	-83.3095+0.7504i	-74.4896+0.7504i	-93.0865+0.7504i
0.1833	-64.1205+0.7504i	-82.6507+0.7504i	-76.7818+0.7504i	-94.4623+0.7504i	-64.1505+0.7504i	-83.3060+0.7504i	-74.6600+0.7504i	-93.0929+0.7504i
0.1854	-64.1187+0.7504i	-82.6475+0.7504i	-76.7793+0.7504i	-94.4617+0.7504i	-64.1455+0.7504i	-83.2966+0.7504i	-74.6871+0.7504i	-93.0913+0.7504i
0.1875	-64.1163+0.7504i	-82.6766+0.7504i	-76.7718+0.7504i	-94.4516+0.7504i	-64.1555+0.7504i	-83.3257+0.7504i	-74.6145+0.7504i	-93.0857+0.7504i
0.1896	-64.1097+0.7504i	-82.6815+0.7504i	-76.7722+0.7504i	-94.4589+0.7504i	-64.1602+0.7504i	-83.3377+0.7504i	-74.6949+0.7504i	-93.0895+0.7504i
0.1917	-64.1076+0.7504i	-82.6901+0.7504i	-76.7685+0.7504i	-94.4563+0.7504i	-64.1522+0.7504i	-83.3426+0.7504i	-74.7100+0.7504i	-93.0884+0.7504i
0.1938	-64.1076+0.7504i	-82.7030+0.7504i	-76.7670+0.7504i	-94.4519+0.7504i	-64.1457+0.7504i	-83.3365+0.7504i	-74.7260+0.7504i	-93.0803+0.7504i
0.1958	-64.1067+0.7504i	-82.7104+0.7504i	-76.7704+0.7504i	-94.4628+0.7504i	-64.1510+0.7504i	-83.3356+0.7504i	-74.8981+0.7504i	-93.0866+0.7504i
0.1979	-64.1085+0.7504i	-82.7228+0.7504i	-76.7661+0.7504i	-94.4551+0.7504i	-64.1526+0.7504i	-83.3718+0.7504i	-74.9159+0.7504i	-93.0857+0.7504i
0.2000	-64.0969+0.7504i	-82.7160+0.7504i	-76.7619+0.7504i	-94.4428+0.7504i	-64.1512+0.7504i	-83.3755+0.7504i	-74.9759+0.7504i	-93.0792+0.7504i
0.2021	-64.0988+0.7504i	-82.7292+0.7504i	-76.7550+0.7504i	-94.4452+0.7504i	-64.1471+0.7504i	-83.3587+0.7504i	-75.0534+0.7504i	-93.0798+0.7504i
0.2042	-64.0962+0.7504i	-82.7475+0.7504i	-76.7574+0.7504i	-94.4503+0.7504i	-64.1432+0.7504i	-83.3699+0.7504i	-75.1441+0.7504i	-93.0788+0.7504i
0.2062	-64.1078+0.7504i	-82.7593+0.7504i	-76.7556+0.7504i	-94.4457+0.7504i	-64.1440+0.7504i	-83.4090+0.7504i	-75.1882+0.7504i	-93.0800+0.7504i
0.2083	-64.1018+0.7504i	-82.7686+0.7504i	-76.7490+0.7504i	-94.4345+0.7504i	-64.1433+0.7504i	-83.4247+0.7504i	-75.1791+0.7504i	-93.0759+0.7504i
0.2104	-64.0961+0.7504i	-82.7848+0.7504i	-76.7497+0.7504i	-94.4579+0.7504i	-64.1474+0.7504i	-83.4284+0.7504i	-75.2536+0.7504i	-93.0776+0.7504i
0.2125	-64.0951+0.7504i	-82.7999+0.7504i	-76.7466+0.7504i	-94.4536+0.7504i	-64.1471+0.7504i	-83.4367+0.7504i	-75.2814+0.7504i	-93.0673+0.7504i
0.2146	-64.0974+0.7504i	-82.8093+0.7504i	-76.7458+0.7504i	-94.4569+0.7504i	-64.1445+0.7504i	-83.4475+0.7504i	-75.3425+0.7504i	-93.0644+0.7504i
0.2167	-64.1010+0.7504i	-82.8221+0.7504i	-76.7476+0.7504i	-94.4647+0.7504i	-64.1441+0.7504i	-83.4573+0.7504i	-75.4504+0.7504i	-93.0706+0.7504i
0.2188	-64.0951+0.7504i	-82.8263+0.7504i	-76.7434+0.7504i	-94.4616+0.7504i	-64.1362+0.7504i	-83.4407+0.7504i	-75.4742+0.7504i	-93.0689+0.7504i
0.2208	-64.0914+0.7504i	-82.8373+0.7504i	-76.7408+0.7504i	-94.4588+0.7504i	-64.1457+0.7504i	-83.4547+0.7504i	-75.6343+0.7504i	-93.0506+0.7504i
0.2229	-64.0877+0.7504i	-82.8461+0.7504i	-76.7393+0.7504i	-94.4649+0.7504i	-64.1533+0.7504i	-83.4895+0.7504i	-75.6936+0.7504i	-93.0572+0.7504i
0.2250	-64.0853+0.7504i	-82.8573+0.7504i	-76.7381+0.7504i	-94.4654+0.7504i	-64.1418+0.7504i	-83.4795+0.7504i	-75.7498+0.7504i	-93.0520+0.7504i
0.2271	-64.0856+0.7504i	-82.8687+0.7504i	-76.7373+0.7504i	-94.4359+0.7504i	-64.1378+0.7504i	-83.4747+0.7504i	-75.7487+0.7504i	-93.0247+0.7504i
0.2292	-64.0822+0.7504i	-82.8878+0.7504i	-76.7394+0.7504i	-94.4494+0.7504i	-64.1424+0.7504i	-83.4822+0.7504i	-75.7391+0.7504i	-93.0347+0.7504i
0.2313	-64.0841+0.7504i	-82.8965+0.7504i	-76.7359+0.7504i	-94.4387+0.7504i	-64.1402+0.7504i	-83.5066+0.7504i	-75.8402+0.7504i	-93.0281+0.7504i
0.2333	-64.0839+0.7504i	-82.9172+0.7504i	-76.7329+0.7504i	-94.4378+0.7504i	-64.1339+0.7504i	-83.5163+0.7504i	-75.7951+0.7504i	-93.0222+0.7504i
0.2354	-64.0817+0.7504i	-82.9271+0.7504i	-76.7300+0.7504i	-94.4400+0.7504i	-64.1300+0.7504i	-83.5076+0.7504i	-75.8763+0.7504i	-93.0228+0.7504i
0.2375	-64.0804+0.7504i	-82.9324+0.7504i	-76.7310+0.7504i	-94.4327+0.7504i	-64.1292+0.7504i	-83.5145+0.7504i	-75.9648+0.7504i	-93.0226+0.7504i
0.2396	-64.0902+0.7504i	-82.9421+0.7504i	-76.7268+0.7504i	-94.4259+0.7504i	-64.1263+0.7504i	-83.5588+0.7504i	-76.0105+0.7504i	-93.0287+0.7504i
0.2417	-64.0849+0.7504i	-82.9350+0.7504i	-76.7215+0.7504i	-94.4072+0.7504i	-64.1307+0.7504i	-83.5710+0.7504i	-76.1584+0.7504i	-93.0226+0.7504i
0.2437	-64.0753+0.7504i	-82.9623+0.7504i	-76.7203+0.7504i	-94.4195+0.7504i	-64.1339+0.7504i	-83.5651+0.7504i	-76.2357+0.7504i	-93.0279+0.7504i
0.2458	-64.0796+0.7504i	-82.9792+0.7504i	-76.7171+0.7504i	-94.4138+0.7504i	-64.1349+0.7504i	-83.5741+0.7504i	-76.2625+0.7504i	-93.0163+0.7504i
0.2479	-64.0794+0.7504i	-82.9756+0.7504i	-76.7154+0.7504i	-94.4112+0.7504i	-64.1340+0.7504i	-83.5916+0.7504i	-76.3394+0.7504i	-93.0180+0.7504i
0.2500	-64.0860+0.7504i	-83.0034+0.7504i	-76.7173+0.7504i	-94.4192+0.7504i	-64.1278+0.7504i	-83.5888+0.7504i	-76.4746+0.7504i	-93.0249+0.7504i
0.2521	-64.0864+0.7504i	-83.0044+0.7504i	-76.7158+0.7504i	-94.4174+0.7504i	-64.1202+0.7504i	-83.5728+0.7504i	-76.5477+0.7504i	-93.0258+0.7504i
0.2542	-64.0826+0.7504i	-83.0169+0.7504i	-76.7101+0.7504i	-94.4090+0.7504i	-64.1266+0.7504i	-83.5963+0.7504i	-76.5364+0.7504i	-93.0213+0.7504i
0.2562	-64.0818+0.7504i	-83.0279+0.7504i	-76.7079+0.7504i	-94.4127+0.7504i	-64.1317+0.7504i	-83.6142+0.7504i	-76.6579+0.7504i	-93.0248+0.7504i
0.2583	-64.0802+0.7504i	-83.0301+0.7504i	-76.7048+0.7504i	-94.4074+0.7504i	-64.1206+0.7504i	-83.6151+0.7504i	-76.6888+0.7504i	-93.0220+0.7504i
0.2604	-64.0818+0.7504i	-83.0446+0.7504i	-76.7023+0.7504i	-94.4065+0.7504i	-64.1137+0.7504i	-83.6028+0.7504i	-76.7713+0.7504i	-93.0128+0.7504i
0.2625	-64.0825+0.7504i	-83.0710+0.7504i	-76.7010+0.7504i	-94.4080+0.7504i	-64.1135+0.7504i	-83.6156+0.7504i	-76.8886+0.7504i	-93.0157+0.7504i
0.2646	-64.0830+0.7504i	-83.0808+0.7504i	-76.7005+0.7504i	-94.4039+0.7504i	-64.1173+0.7504i	-83.6445+0.7504i	-76.9689+0.7504i	-93.0181+0.7504i
0.2667	-64.0831+0.7504i	-83.1007+0.7504i	-76.6966+0.7504i	-94.3991+0.7504i	-64.1134+0.7504i	-83.6501+0.7504i	-76.9954+0.7504i	-93.0145+0.7504i
0.2687	-64.0827+0.7504i	-83.1167+0.7504i	-76.6911+0.7504i	-94.3999+0.7504i	-64.1055+0.7504i	-83.6396+0.7504i	-77.0903+0.7504i	-93.0072+0.7504i
0.2708	-64.0887+0.7504i	-83.1363+0.7504i	-76.6924+0.7504i	-94.4005+0.7504i	-64.1122+0.7504i	-83.6367+0.7504i	-77.1894+0.7504i	-93.0062+0.7504i
0.2729	-64.0946+0.7504i	-83.1489+0.7504i	-76.6861+0.7504i	-94.3945+0.7504i	-64.1102+0.7504i	-83.6742+0.7504i	-77.2598+0.7504i	-93.0068+0.7504i
0.2750	-64.0942+0.7504i	-83.1374+0.7504i	-76.6806+0.7504i	-94.3870+0.7504i	-64.1170+0.7504i	-83.6854+0.7504i	-77.2326+0.7504i	-93.0057+0.7504i
0.2771	-64.0924+0.7504i	-83.1647+0.7504i	-76.6758+0.7504i	-94.3941+0.7504i	-64.1169+0.7504i	-83.6784+0.7504i	-77.3531+0.7504i	-93.0068+0.7504i
0.2792	-64.0909+0.7504i	-83.1673+0.7504i	-76.6717+0.7504i	-94.3886+0.7504i	-64.0870+0.7504i	-83.6897+0.7504i	-77.4826+0.7504i	-92.9966+0.7504i
0.2813	-64.0965+0.7504i	-83.1824+0.7504i	-76.6665+0.7504i	-94.3837+0.7504i	-64.0943+0.7504i	-83.7001+0.7504i	-77.5517+0.7504i	-92.9959+0.7504i
0.2833	-64.1037+0.7504i	-83.2131+0.7504i	-76.6678+0.7504i	-94.3945+0.7504i	-64.1101+0.7504i	-83.6920+0.7504i	-77.7896+0.7504i	-93.0043+0.7504i
